"Timestamp","¿Qué edad tienes?","Lista de actividades: [YOGA]","Lista de actividades: [NATACIÓN ]","Lista de actividades: [BAILE ]","Lista de actividades: [GOLF ]","Lista de actividades: [GIMNASIO ]","Lista de actividades: [TIRO CON ARCO ]","Lista de actividades: [ZUMBA ]","Lista de actividades: [TENIS]","Lista de actividades: [CLUB DE LECTURA]","Lista de actividades: [CLUB DE ESCRITURA]","Lista de actividades: [PINTURA]","Lista de actividades: [MÚSICA ]","Lista de actividades: [MACRAMÉ]","Lista de actividades: [INFORMÁTICA]","Lista de actividades: [JARDINERÍA]","Lista de actividades: [MANUALIDADES]","Lista de actividades: [IDIOMAS]","Lista de actividades: [COCINA]","Lista de actividades: [COCTELERÍA]","Lista de actividades: [CERVECERÍA ARTESANAL]","Lista de actividades: [CATAS DE COMIDA Y BEBIDA]","Lista de actividades: [BINGO]","Lista de actividades: [PARCHIS]","Lista de actividades: [AJEDREZ]","Lista de actividades: [TEATRO]"
"2022/03/11 10:13:12 pm CET","Más de 55 años","4","2","","","3","","","","","","","","","3","","","5 Me encanta","4","","","","","4","",""
"2022/03/11 10:13:46 pm CET","Más de 55 años","5 Me encanta","3","5 Me encanta","4","3","4","4","4","5 Me encanta","4","3","4","3","3","4","3","3","4","2","2","2","2","4","4","5 Me encanta"
"2022/03/11 10:19:17 pm CET","Más de 55 años","","","3","","3","","","","","","3","3","","","","","","","","","","","","","3"
"2022/03/11 10:20:32 pm CET","Más de 55 años","4","3","4","","3","","","","3","","3","3","","3","3","3","","4","","","","","5 Me encanta","5 Me encanta","5 Me encanta"
"2022/03/11 10:20:37 pm CET","Más de 55 años","5 Me encanta","5 Me encanta","4","","2","","","","4","","5 Me encanta","5 Me encanta","","3","5 Me encanta","5 Me encanta","3","5 Me encanta","","4","","1 No me gusta","3","","5 Me encanta"
"2022/03/11 10:22:32 pm CET","Más de 55 años","","3","4","","","","","","4","","","","","","","","","","","","","","5 Me encanta","",""
"2022/03/11 10:25:11 pm CET","Más de 55 años","3","","","","","","","","","","","","","","","3","","3","","","","","","",""
"2022/03/11 10:25:46 pm CET","Más de 55 años","2","4","3","4","4","2","2","2","4","3","2","2","","4","3","4","3","4","4","3","4","4","4","4","4"
"2022/03/11 10:32:44 pm CET","Más de 55 años","3","","","","","","","3","","","","","","","3","","3","","","","","","","",""
"2022/03/11 10:46:47 pm CET","Más de 55 años","3","2","2","","2","","","","3","2","2","3","","2","3","3","2","2","","","","1 No me gusta","3","","3"
